;atomization_energy;atomtypes;coordinates;dipole;forces;heavy;name;nuclear_charges;size;smiles;total_energy
0;-644.9483599285023;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.945217, -0.145816, -0.086762], [0.310566, 0.431883, -0.247145], [1.549893, -0.044236, 0.343934], [-1.141072, -0.778312, 0.733896], [-1.665124, 0.180332, -0.741888], [0.625354, 1.011078, -1.0865], [1.504147, -0.916154, 0.876714]];[-0.7429, -0.98, 0.2002];[[117.8347249366798, 46.47122897974883, 9.092052871262078], [0.2812056044053921, -102.28757215830355, 31.875832779656392], [-41.33771952079262, -10.049437356261393, 8.750813890249503], [-8.821243360024528, -20.01143582556976, 16.516460694059138], [-46.65261572541241, 15.65594118755969, -28.82709515425776], [-4.496546866391689, 19.458648740421598, -6.953072414107516], [-16.807806254285016, 50.76262761822563, -30.45499385268289]];3;mc_amon00016_001_001;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96465.09298865015
1;-638.6768545412939;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.892473, -0.120678, -0.076053], [0.331296, 0.315827, -0.254521], [1.535325, 0.021954, 0.352049], [-1.474536, -0.933548, 0.642542], [-1.682323, 0.48636, -0.529334], [0.570042, 1.05815, -1.092887], [1.320507, -0.975655, 0.581601]];[-0.8158, -1.1052, -0.1];[[-87.23399723409979, -39.34305229991423, 45.20050906892486], [54.69386987243828, 49.89436351443188, -35.654585561435425], [-47.76555028698201, -95.8444680169571, 3.9607431103583712], [58.44043117010331, 46.290329606537846, -35.949716262461095], [8.26996938253944, -8.323739252346972, -12.328162081176595], [-19.082082964432043, -15.280583763222698, 32.85134728272838], [32.67736124625386, 62.60715139729232, 1.9198644430615026]];3;mc_amon00016_001_002;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96458.82148326295
2;-661.5209391063536;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.879511, -0.121434, -0.064773], [0.344263, 0.366368, -0.269756], [1.495954, -0.030309, 0.33024], [-1.098898, -0.941994, 0.613384], [-1.71791, 0.296593, -0.619837], [0.531366, 1.18297, -0.955809], [1.300801, -0.730022, 0.97325]];[-0.5728, -0.6553, 0.5411];[[-3.141207951077696, 2.910102100322145, -6.263952668366946], [-2.4293927762120737, -4.330675403379875, 7.316550283139905], [-1.0393401354052765, -1.4428999418354334, 1.1862206742602546], [2.224399890855069, 0.369969053474133, 1.089398385318278], [3.3476759978240924, -1.569763821323105, 2.697812858028704], [1.6580529419708199, 0.7914347577980297, -1.88001136912688], [-0.620187967954935, 3.271834440765158, -4.1460169774322635]];3;mc_amon00016_001_003;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96481.66556782801
3;-641.3807903553201;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.92118, -0.143295, -0.068305], [0.381249, 0.322141, -0.30406], [1.528399, 0.005736, 0.344734], [-1.425317, -0.864419, 0.610219], [-1.731689, 0.4337, -0.402786], [0.535119, 1.353042, -0.870084], [1.228958, -0.81078, 0.887839]];[-0.6666, -0.6096, 0.6908];[[58.10192669243795, 11.694071547201382, 8.31278345164232], [-68.54975248951926, 52.12670484887598, 11.678468513791724], [-32.56591422627059, -65.65926149776445, 18.463824327329633], [39.20523024807979, -5.551363152353999, -3.8706349402160214], [-15.068287406002941, 25.508172945316275, -32.36482269217653], [-10.248212981839798, -59.53508630014761, 19.372133608068523], [29.12501016311485, 41.41676279469347, -21.59175226843965]];3;mc_amon00016_001_004;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96461.52541907696
4;-646.3840940752248;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.820046, -0.163044, -0.064317], [0.370805, 0.437932, -0.256365], [1.41539, -0.043765, 0.319498], [-1.075857, -0.782386, 0.816518], [-1.630518, 0.230885, -0.610785], [0.583677, 1.077633, -1.088166], [1.38354, -0.909042, 0.874627]];[0.0705, -0.7922, 0.533];[[-1.1865645623654986, 26.764328601972636, 14.34582237226423], [-80.07671101906679, -64.3327000877541, -8.490847526716612], [114.67145004163493, -44.41815058546317, 64.15648589352182], [11.345138959199762, 2.4808585957144715, -15.730653842976581], [-27.360833351865733, 5.695677574451225, -13.366858315750328], [3.783697655568231, 16.757319922972037, -3.354920178634215], [-21.176176537283844, 57.05266597810691, -37.55902840170832]];3;mc_amon00016_001_005;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96466.52872279688
5;-645.650348502127;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.911308, -0.0931, -0.064955], [0.306223, 0.355512, -0.262138], [1.547506, -0.019018, 0.343765], [-1.27646, -0.866189, 0.728018], [-1.685411, 0.047784, -0.867718], [0.57453, 1.212186, -0.937832], [1.445281, -0.975963, 0.791075]];[-0.7102, -1.192, 0.031];[[-62.078764951942794, -53.52474636611391, 7.684055200466807], [83.4521755474367, 19.105399763788636, 4.516334662295851], [-55.07576472823806, -58.69759899595214, 20.142797524309813], [28.75414462892498, 30.332747560373907, -33.14600246951197], [16.999259434863824, 13.747541262434392, 25.343257254072824], [-13.13573586350004, -26.049947310349264, 8.186722373007234], [1.0846859324553826, 75.08660408581838, -32.72716454464056]];3;mc_amon00016_001_006;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96465.79497722378
6;-660.7528913553767;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.890103, -0.120752, -0.063065], [0.33134, 0.376591, -0.268179], [1.508989, -0.037575, 0.331061], [-1.077834, -0.950249, 0.585644], [-1.716034, 0.26965, -0.659355], [0.557472, 1.167142, -0.965734], [1.318485, -0.699974, 1.003879]];[-0.6727, -0.6424, 0.51];[[5.95511861925783, 15.270594406675887, -19.553292676090013], [17.578885207894707, -17.862119752121036, 16.439914759294975], [-17.769730062273553, 11.91436033831543, -10.713652488255983], [-3.08103939087052, -9.430717434769534, 10.525824362634863], [2.8331648446106406, -1.7720720078171017, 6.235305603379068], [-1.8061453899415199, 4.5926695209126525, -3.4977487669525766], [-3.7102526428565317, -2.7127138853752433, 0.5636492059896627]];3;mc_amon00016_001_007;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96480.89752007702
7;-652.9321774007076;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.918332, -0.08688, -0.092026], [0.313329, 0.294684, -0.265061], [1.542295, -0.012289, 0.337439], [-1.053213, -0.98122, 0.596508], [-1.71434, 0.433195, -0.62686], [0.457474, 1.193297, -0.802651], [1.418902, -0.685464, 0.997297]];[-0.7258, -0.6303, 0.6596];[[-20.810274850020008, -61.16503884063579, 36.037344880782534], [65.15579389601353, 36.483638120483995, 18.961741100733484], [-37.946142055960436, 7.258742692648387, -28.113925771750104], [-15.045810167951563, 26.470298342883748, -22.531126503292594], [1.1041274686121947, -10.668331593447979, 7.134289587360581], [12.108759098388813, 17.821951249786434, -24.147576099455204], [-4.566453389082533, -16.20125878589774, 12.659253991442366]];3;mc_amon00016_001_008;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96473.07680612235
8;-646.9313293998789;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.855404, -0.139376, -0.024576], [0.313259, 0.435064, -0.262553], [1.492383, -0.061285, 0.31229], [-1.083655, -1.004948, 0.488721], [-1.590073, 0.218785, -0.836999], [0.58657, 1.110836, -1.050695], [1.201095, -0.621896, 1.140821]];[-0.7642, -0.5452, 0.4227];[[-35.74578112948298, 74.09821868104184, -97.9036023993582], [51.61780737252537, -60.346231775481385, 28.949914198135126], [-34.62991047498723, -10.830257829817908, 52.163907612758116], [-5.103761952031557, -36.546992981859404, 33.64873130474713], [10.674184806163444, -15.069799327844963, 42.30357195392829], [-7.7378618307269695, 13.43128634517832, -2.027623559571291], [20.92532320853992, 35.263775702962455, -57.13490029646023]];3;mc_amon00016_001_009;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96467.07595812152
9;-653.6918585678668;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.930156, -0.111558, -0.068411], [0.36681, 0.361531, -0.242401], [1.512835, -0.012972, 0.335115], [-1.200194, -0.92628, 0.617675], [-1.817612, 0.206554, -0.72345], [0.620934, 1.051576, -1.010305], [1.497307, -0.866956, 0.796186]];[-0.0672, -1.1815, 0.214];[[24.97864336847208, 15.385821824174732, -23.190651713024288], [-77.97037621548935, -39.53911713856647, -0.05059186938665619], [19.847326492642058, -10.799737167566978, 14.485698266161704], [9.597611075528661, 8.441831613508818, -0.5403217342435934], [41.49615232834169, -2.5156671868914797, 22.09776582799041], [-5.196014086636946, 21.362637411231354, -11.482270863181597], [-12.753341777037129, 7.664230644110017, -1.3196279143159828]];3;mc_amon00016_001_010;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96473.83648728952
10;-649.3993687148478;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.843743, -0.141202, -0.073966], [0.322354, 0.402726, -0.345442], [1.485755, -0.037308, 0.384332], [-1.050634, -0.876118, 0.788505], [-1.787494, 0.324261, -0.32127], [0.58244, 1.213904, -1.063224], [1.330562, -0.96694, 0.72413]];[-0.9285, -0.6951, 0.0197];[[-48.51363972784562, -12.605321664150633, 45.108318597014204], [64.73480370593172, -17.972934729483285, 35.41399077061725], [-29.38418914146884, -12.351827511922647, -29.60620211639332], [23.193955410476736, 21.003356162903994, -33.2346663096123], [-0.14546941180242504, 0.5650887927474771, -22.01706003297386], [-8.552965576734206, -16.917850447963097, 17.331532422897954], [-1.3324952585573715, 38.27948939786818, -12.995914517370986]];3;mc_amon00016_001_011;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96469.5439974365
11;-640.7014837391383;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.960678, -0.092655, -0.040463], [0.32716, 0.352311, -0.293097], [1.565155, -0.003718, 0.371428], [-1.169818, -1.067428, 0.530404], [-1.790274, 0.283479, -0.806117], [0.599029, 1.047614, -1.054043], [1.496922, -1.014785, 0.712866]];[-0.5559, -1.4065, -0.4062];[[21.752560275557006, -6.567985328034224, -49.690819702401114], [-4.48945209903419, -47.635993407883966, 50.41764974343431], [-60.0974322888005, -71.79968362962248, -3.1964482389904085], [5.737572632238367, 43.749411546153034, -12.324871427755724], [42.78659362909087, -19.75795827483651, 45.73825757148439], [-5.001278553384633, 19.10251940445196, -6.848180612902831], [-0.6885635956669167, 82.90968850395113, -24.09558851868968]];3;mc_amon00016_001_012;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96460.84611246079
12;-641.947477846174;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.913009, -0.181173, -0.085065], [0.346312, 0.388786, -0.263215], [1.526729, -0.032517, 0.327526], [-1.240256, -0.907329, 0.562461], [-1.677039, 0.702863, -0.455638], [0.490916, 1.086865, -1.010396], [1.282465, -0.557655, 1.097407]];[-0.5333, -0.1814, 1.0382];[[30.315809292459058, 156.0426666355204, -65.63614865962889], [-39.35235269442949, -96.20657270521062, 58.30396925501618], [-22.019717457952655, 12.623021229181226, -17.48761018983663], [-12.347278702365005, -39.17978371411279, 37.44514807692518], [30.81885829937842, -70.35829916709223, 15.088585104959707], [11.861867597781512, 40.67706778106098, -28.01455989665038], [0.7228124793071146, -3.598097687704883, 0.30061749503588997]];3;mc_amon00016_001_013;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96462.09210656783
13;-660.9907136809934;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.889346, -0.123675, -0.076957], [0.338791, 0.366145, -0.261117], [1.505149, -0.028674, 0.332983], [-1.073254, -0.872799, 0.687712], [-1.699048, 0.288203, -0.64115], [0.511657, 1.169918, -0.958989], [1.305905, -0.783706, 0.910846]];[-0.6122, -0.6852, 0.4713];[[21.327567939422778, -0.2758136760793766, 11.878824838833198], [1.6728009984015775, -5.6282992222444514, 2.2568190526111587], [-14.480504369951467, -1.2897973999176442, -0.5039027980772005], [-4.948616240440198, -3.5118398785202127, -3.19276982208535], [-11.047346089911082, 2.3076848466609574, -3.5173183717830656], [5.445557083117786, 3.6281748528821556, -4.416819373743499], [2.0305418651816547, 4.769891663039624, -2.5048323399341887]];3;mc_amon00016_001_014;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96481.13534240265
14;-658.5509493154384;['C', 'C', 'O', 'H', 'H', 'H', 'H'];[[-0.905976, -0.128161, -0.089302], [0.334389, 0.368349, -0.245554], [1.522496, -0.037342, 0.323893], [-1.115805, -0.891598, 0.719593], [-1.679396, 0.322559, -0.683361], [0.470372, 1.212407, -0.95079], [1.316375, -0.677832, 1.015587]];[-0.6686, -0.4539, 0.7158];[[29.481188117747642, -12.862821519894187, 34.613850900472336], [-0.5580865194320777, 2.7373457602791342, -10.785216788778312], [-25.053378554488972, 12.785682674603747, -6.549940689077335], [-0.5070250649086055, 17.691118427235825, -29.12652564242003], [-11.264292051477947, -1.508201921379165, 1.899545399325792], [7.830163769816565, -15.693458194020758, 9.71992140217448], [0.0714279311012853, -3.149666412645646, 0.22836541830307167]];3;mc_amon00016_001_015;[6, 6, 8, 1, 1, 1, 1];7;C=CO;-96478.69557803709
